matriculaID,Estado
1,false
2,true
3,true
4,false
5,true
6,false
7,false
8,true
9,true
10,true
11,false
12,true
13,true
14,true
15,false
16,false
17,true
18,false
19,true
20,false
21,false
22,false
23,true
24,false
25,false
26,false
27,false
28,true
29,true
30,false
31,false
32,true
33,true
34,false
35,false
36,false
37,true
38,true
39,false
40,true
41,true
42,false
43,true
44,false
45,true
46,true
47,true
48,false
49,false
50,false
51,false
52,false
53,false
54,false
55,false
56,true
57,false
58,true
59,false
60,true
61,false
62,true
63,false
64,true
65,true
66,true
67,false
68,false
69,false
70,false
71,false
72,true
73,false
74,true
75,false
76,false
77,false
78,true
79,true
80,false
81,false
82,true
83,false
84,true
85,false
86,false
87,false
88,false
89,false
90,true
91,false
92,true
93,true
94,false
95,false
96,true
97,true
98,false
99,true
100,false
101,true
102,false
103,true
104,true
105,false
106,true
107,false
108,true
109,true
110,true
111,false
112,true
113,false
114,true
115,false
116,true
117,false
118,true
119,true
120,true
121,true
122,false
123,true
124,false
125,false
126,true
127,true
128,true
129,true
130,true
131,true
132,true
133,true
134,true
135,true
136,false
137,true
138,true
139,true
140,false
141,false
142,false
143,true
144,true
145,false
146,false
147,false
148,true
149,false
150,true
151,true
152,true
153,true
154,false
155,true
156,false
157,false
158,true
159,true
160,true
161,false
162,true
163,true
164,true
165,false
166,true
167,true
168,false
169,true
170,false
171,true
172,false
173,true
174,false
175,false
176,false
177,false
178,true
179,false
180,true
181,true
182,true
183,false
184,false
185,false
186,true
187,false
188,true
189,true
190,false
191,false
192,true
193,true
194,true
195,true
196,false
197,false
198,false
199,true
200,true
